Metadata_Plate	Metadata_Well	cell_count	plate_map_name	well_position	clone_number	plate_ID	plate_filename	treatment	treatment_time	cell_density
218360	F10	854	218360	F10	Clone A	218360	20200626-WTpAE-Lo	21 nM bortezomib	13 hr	2.5x10^3 cells/well
218360	F11	580	218360	F11	Clone A	218360	20200626-WTpAE-Lo	210 nM bortezomib	13 hr	2.5x10^3 cells/well
218360	G02	1758	218360	G02	Clone E	218360	20200626-WTpAE-Lo	0.1% DMSO	13 hr	2.5x10^3 cells/well
218360	G03	1576	218360	G03	Clone E	218360	20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	2.5x10^3 cells/well
218360	G04	1145	218360	G04	Clone E	218360	20200626-WTpAE-Lo	21 nM bortezomib	13 hr	2.5x10^3 cells/well
218360	G05	798	218360	G05	Clone E	218360	20200626-WTpAE-Lo	210 nM bortezomib	13 hr	2.5x10^3 cells/well
218360	G06	1476	218360	G06	Clone E	218360	20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	2.5x10^3 cells/well
218360	G07	947	218360	G07	Clone E	218360	20200626-WTpAE-Lo	210 nM bortezomib	13 hr	2.5x10^3 cells/well
218360	G08	1717	218360	G08	Clone E	218360	20200626-WTpAE-Lo	0.1% DMSO	13 hr	2.5x10^3 cells/well
218360	G09	1125	218360	G09	Clone E	218360	20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	2.5x10^3 cells/well
218360	G10	738	218360	G10	Clone E	218360	20200626-WTpAE-Lo	21 nM bortezomib	13 hr	2.5x10^3 cells/well
218360	G11	545	218360	G11	Clone E	218360	20200626-WTpAE-Lo	210 nM bortezomib	13 hr	2.5x10^3 cells/well
